	id_account	name.3	period	title.3	description.3	Cidade_dos_seguidores	valor	extract_date	period_extraction	year	day	id_tb_midia
94	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Barbosa, São Paulo (state)		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
95	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Barbosa, São Paulo (state)	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
96	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Pedro do Rio, Rio de Janeiro (state)		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
97	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Pedro do Rio, Rio de Janeiro (state)	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
98	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.São Luís, Maranhão		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
99	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.São Luís, Maranhão	2.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
100	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Nova Friburgo, Rio de Janeiro (state)		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
101	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Nova Friburgo, Rio de Janeiro (state)	2.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
102	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Hong Kong, Hong Kong		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
103	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Hong Kong, Hong Kong	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
104	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Osasco, São Paulo (state)		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
105	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Osasco, São Paulo (state)	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
106	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Rio Branco, Acre (state)		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
