	id	name	period	title	description	value	extract_date	period_extraction	year	day	id_tb_midias
81	17997324461240753	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1799732446124075320240520taps_forwardlifetime
82	17997324461240753	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1799732446124075320240520taps_backlifetime
83	17997324461240753	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1799732446124075320240520exitslifetime
84	17997324461240753	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1799732446124075320240520replieslifetime
85	17997324461240753	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	8	2024-05-20	05	2024	20	1799732446124075320240520engagementlifetime
86	17997324461240753	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1799732446124075320240520video_viewslifetime
87	17997324461240753	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	83	2024-05-20	05	2024	20	1799732446124075320240520impressionslifetime
88	17997324461240753	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	77	2024-05-20	05	2024	20	1799732446124075320240520reachlifetime
89	17997324461240753	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	1	2024-05-20	05	2024	20	1799732446124075320240520savedlifetime
90	17982183917471535	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1798218391747153520240520taps_forwardlifetime
91	17982183917471535	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1798218391747153520240520taps_backlifetime
92	17982183917471535	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1798218391747153520240520exitslifetime
93	17982183917471535	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1798218391747153520240520replieslifetime
94	17982183917471535	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	8	2024-05-20	05	2024	20	1798218391747153520240520engagementlifetime
95	17982183917471535	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1798218391747153520240520video_viewslifetime
96	17982183917471535	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	57	2024-05-20	05	2024	20	1798218391747153520240520impressionslifetime
97	17982183917471535	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	51	2024-05-20	05	2024	20	1798218391747153520240520reachlifetime
98	17982183917471535	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	1	2024-05-20	05	2024	20	1798218391747153520240520savedlifetime
99	17873173155025720	reach	lifetime	Contas alcançadas	O número de contas únicas que viram este reel pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações do seu reel pelas mesmas contas. Esta métrica é estimada.	309	2024-05-20	05	2024	20	1787317315502572020240520reachlifetime
100	17873173155025720	saved	lifetime	Salvo	O número de vezes que seu reel foi salvo.	3	2024-05-20	05	2024	20	1787317315502572020240520savedlifetime
101	17892179540901363	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1789217954090136320240520taps_forwardlifetime
102	17892179540901363	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1789217954090136320240520taps_backlifetime
103	17892179540901363	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1789217954090136320240520exitslifetime
104	17892179540901363	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1789217954090136320240520replieslifetime
105	17892179540901363	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	4	2024-05-20	05	2024	20	1789217954090136320240520engagementlifetime
