	id	id_midia	id_account	comments_count	like_count	extract_date	period	year	day
134	17862190370692608178414175304006162024525	17862190370692608	17841417530400616	1	14	2024-05-25	5	2024	25
135	17954383246683572178414175304006162024525	17954383246683572	17841417530400616	1	14	2024-05-25	5	2024	25
136	18133458787270377178414175304006162024525	18133458787270377	17841417530400616	1	13	2024-05-25	5	2024	25
137	17945265712772588178414175304006162024525	17945265712772588	17841417530400616	1	11	2024-05-25	5	2024	25
138	18213470449131580178414175304006162024525	18213470449131580	17841417530400616	1	13	2024-05-25	5	2024	25
139	17970845923543840178414175304006162024525	17970845923543840	17841417530400616	1	10	2024-05-25	5	2024	25
140	17914841513381552178414175304006162024525	17914841513381552	17841417530400616	1	11	2024-05-25	5	2024	25
141	17934179573069230178414175304006162024525	17934179573069230	17841417530400616	3	21	2024-05-25	5	2024	25
142	17981459218470607178414175304006162024525	17981459218470607	17841417530400616	1	14	2024-05-25	5	2024	25
143	17882947799558254178414175304006162024525	17882947799558254	17841417530400616	1	12	2024-05-25	5	2024	25
144	17884624751534571178414175304006162024525	17884624751534571	17841417530400616	1	21	2024-05-25	5	2024	25
145	18023740003350133178414175304006162024525	18023740003350133	17841417530400616	1	8	2024-05-25	5	2024	25
146	17933182687919850178414175304006162024525	17933182687919850	17841417530400616	7	18	2024-05-25	5	2024	25
147	17865567998619722178414175304006162024525	17865567998619722	17841417530400616	1	20	2024-05-25	5	2024	25
148	17880811877527032178414175304006162024525	17880811877527032	17841417530400616	1	17	2024-05-25	5	2024	25
149	18208362235140037178414175304006162024525	18208362235140037	17841417530400616	1	17	2024-05-25	5	2024	25
150	17973880342465897178414175304006162024525	17973880342465897	17841417530400616	1	15	2024-05-25	5	2024	25
151	17980061662449484178414175304006162024525	17980061662449484	17841417530400616	2	20	2024-05-25	5	2024	25
152	17945006698643575178414175304006162024525	17945006698643575	17841417530400616	1	18	2024-05-25	5	2024	25
153	17928991276921903178414175304006162024525	17928991276921903	17841417530400616	7	20	2024-05-25	5	2024	25
154	17918220128078624178414175304006162024525	17918220128078624	17841417530400616	3	23	2024-05-25	5	2024	25
155	17970435478466100178414175304006162024525	17970435478466100	17841417530400616	3	24	2024-05-25	5	2024	25
156	18190759345126517178414175304006162024525	18190759345126517	17841417530400616	1	19	2024-05-25	5	2024	25
157	17976364516433227178414175304006162024525	17976364516433227	17841417530400616	1	17	2024-05-25	5	2024	25
158	17907553739145170178414175304006162024525	17907553739145170	17841417530400616	1	13	2024-05-25	5	2024	25
159	17922019213743343178414175304006162024525	17922019213743343	17841417530400616	1	14	2024-05-25	5	2024	25
160	17912557675956246178414175304006162024525	17912557675956246	17841417530400616	1	21	2024-05-25	5	2024	25
161	17898300758221880178414175304006162024525	17898300758221880	17841417530400616	1	11	2024-05-25	5	2024	25
162	17938723957545517178414175304006162024525	17938723957545517	17841417530400616	1	28	2024-05-25	5	2024	25
163	17944262803532912178414175304006162024525	17944262803532912	17841417530400616	3	31	2024-05-25	5	2024	25
164	17919118954746234178414175304006162024525	17919118954746234	17841417530400616	1	25	2024-05-25	5	2024	25
165	18166966012159015178414175304006162024525	18166966012159015	17841417530400616	3	12	2024-05-25	5	2024	25
