	id	id_midia	id_insight	extract_date	period_extraction	year	day	definicao	value
67	18012618164496765142024525	18012618164496765	14	2024-05-25	5	2024	25	reach	66
68	18012618164496765162024525	18012618164496765	16	2024-05-25	5	2024	25	saved	2
69	18020150257990451182024525	18020150257990451	18	2024-05-25	5	2024	25	taps_forward	0
70	18020150257990451172024525	18020150257990451	17	2024-05-25	5	2024	25	taps_back	0
71	1802015025799045172024525	18020150257990451	7	2024-05-25	5	2024	25	exits	0
72	18020150257990451152024525	18020150257990451	15	2024-05-25	5	2024	25	replies	0
73	1802015025799045162024525	18020150257990451	6	2024-05-25	5	2024	25	engagement	6
74	18020150257990451202024525	18020150257990451	20	2024-05-25	5	2024	25	video_views	0
75	18020150257990451102024525	18020150257990451	10	2024-05-25	5	2024	25	impressions	59
76	18020150257990451142024525	18020150257990451	14	2024-05-25	5	2024	25	reach	50
77	18020150257990451162024525	18020150257990451	16	2024-05-25	5	2024	25	saved	1
78	18024592819898084182024525	18024592819898084	18	2024-05-25	5	2024	25	taps_forward	0
79	18024592819898084172024525	18024592819898084	17	2024-05-25	5	2024	25	taps_back	0
80	1802459281989808472024525	18024592819898084	7	2024-05-25	5	2024	25	exits	0
81	18024592819898084152024525	18024592819898084	15	2024-05-25	5	2024	25	replies	0
82	1802459281989808462024525	18024592819898084	6	2024-05-25	5	2024	25	engagement	20
83	18024592819898084202024525	18024592819898084	20	2024-05-25	5	2024	25	video_views	0
84	18024592819898084102024525	18024592819898084	10	2024-05-25	5	2024	25	impressions	97
85	18024592819898084142024525	18024592819898084	14	2024-05-25	5	2024	25	reach	80
86	18024592819898084162024525	18024592819898084	16	2024-05-25	5	2024	25	saved	2
87	17997324461240753182024525	17997324461240753	18	2024-05-25	5	2024	25	taps_forward	0
88	17997324461240753172024525	17997324461240753	17	2024-05-25	5	2024	25	taps_back	0
89	1799732446124075372024525	17997324461240753	7	2024-05-25	5	2024	25	exits	0
90	17997324461240753152024525	17997324461240753	15	2024-05-25	5	2024	25	replies	0
91	1799732446124075362024525	17997324461240753	6	2024-05-25	5	2024	25	engagement	8
92	17997324461240753202024525	17997324461240753	20	2024-05-25	5	2024	25	video_views	0
93	17997324461240753102024525	17997324461240753	10	2024-05-25	5	2024	25	impressions	84
94	17997324461240753142024525	17997324461240753	14	2024-05-25	5	2024	25	reach	78
95	17997324461240753162024525	17997324461240753	16	2024-05-25	5	2024	25	saved	1
96	17982183917471535182024525	17982183917471535	18	2024-05-25	5	2024	25	taps_forward	0
97	17982183917471535172024525	17982183917471535	17	2024-05-25	5	2024	25	taps_back	0
98	1798218391747153572024525	17982183917471535	7	2024-05-25	5	2024	25	exits	0
99	17982183917471535152024525	17982183917471535	15	2024-05-25	5	2024	25	replies	0
100	1798218391747153562024525	17982183917471535	6	2024-05-25	5	2024	25	engagement	8
101	17982183917471535202024525	17982183917471535	20	2024-05-25	5	2024	25	video_views	0
102	17982183917471535102024525	17982183917471535	10	2024-05-25	5	2024	25	impressions	58
103	17982183917471535142024525	17982183917471535	14	2024-05-25	5	2024	25	reach	52
104	17982183917471535162024525	17982183917471535	16	2024-05-25	5	2024	25	saved	1
105	17873173155025720142024525	17873173155025720	14	2024-05-25	5	2024	25	reach	309
106	17873173155025720162024525	17873173155025720	16	2024-05-25	5	2024	25	saved	3
107	17892179540901363182024525	17892179540901363	18	2024-05-25	5	2024	25	taps_forward	0
108	17892179540901363172024525	17892179540901363	17	2024-05-25	5	2024	25	taps_back	0
109	1789217954090136372024525	17892179540901363	7	2024-05-25	5	2024	25	exits	0
110	17892179540901363152024525	17892179540901363	15	2024-05-25	5	2024	25	replies	0
111	1789217954090136362024525	17892179540901363	6	2024-05-25	5	2024	25	engagement	4
112	17892179540901363202024525	17892179540901363	20	2024-05-25	5	2024	25	video_views	0
113	17892179540901363102024525	17892179540901363	10	2024-05-25	5	2024	25	impressions	96
114	17892179540901363142024525	17892179540901363	14	2024-05-25	5	2024	25	reach	92
115	17892179540901363162024525	17892179540901363	16	2024-05-25	5	2024	25	saved	0
116	17953225589736051182024525	17953225589736051	18	2024-05-25	5	2024	25	taps_forward	0
117	17953225589736051172024525	17953225589736051	17	2024-05-25	5	2024	25	taps_back	0
118	1795322558973605172024525	17953225589736051	7	2024-05-25	5	2024	25	exits	0
119	17953225589736051152024525	17953225589736051	15	2024-05-25	5	2024	25	replies	0
120	1795322558973605162024525	17953225589736051	6	2024-05-25	5	2024	25	engagement	14
121	17953225589736051202024525	17953225589736051	20	2024-05-25	5	2024	25	video_views	0
122	17953225589736051102024525	17953225589736051	10	2024-05-25	5	2024	25	impressions	102
123	17953225589736051142024525	17953225589736051	14	2024-05-25	5	2024	25	reach	92
124	17953225589736051162024525	17953225589736051	16	2024-05-25	5	2024	25	saved	2
125	18039366277634967182024525	18039366277634967	18	2024-05-25	5	2024	25	taps_forward	0
126	18039366277634967172024525	18039366277634967	17	2024-05-25	5	2024	25	taps_back	0
127	1803936627763496772024525	18039366277634967	7	2024-05-25	5	2024	25	exits	0
128	18039366277634967152024525	18039366277634967	15	2024-05-25	5	2024	25	replies	0
129	1803936627763496762024525	18039366277634967	6	2024-05-25	5	2024	25	engagement	6
130	18039366277634967202024525	18039366277634967	20	2024-05-25	5	2024	25	video_views	0
131	18039366277634967102024525	18039366277634967	10	2024-05-25	5	2024	25	impressions	63
132	18039366277634967142024525	18039366277634967	14	2024-05-25	5	2024	25	reach	59
133	18039366277634967162024525	18039366277634967	16	2024-05-25	5	2024	25	saved	0
134	18034865689681990182024525	18034865689681990	18	2024-05-25	5	2024	25	taps_forward	0
135	18034865689681990172024525	18034865689681990	17	2024-05-25	5	2024	25	taps_back	0
136	1803486568968199072024525	18034865689681990	7	2024-05-25	5	2024	25	exits	0
137	18034865689681990152024525	18034865689681990	15	2024-05-25	5	2024	25	replies	0
138	1803486568968199062024525	18034865689681990	6	2024-05-25	5	2024	25	engagement	7
139	18034865689681990202024525	18034865689681990	20	2024-05-25	5	2024	25	video_views	0
140	18034865689681990102024525	18034865689681990	10	2024-05-25	5	2024	25	impressions	46
141	18034865689681990142024525	18034865689681990	14	2024-05-25	5	2024	25	reach	42
142	18034865689681990162024525	18034865689681990	16	2024-05-25	5	2024	25	saved	0
143	18091892248364995182024525	18091892248364995	18	2024-05-25	5	2024	25	taps_forward	0
144	18091892248364995172024525	18091892248364995	17	2024-05-25	5	2024	25	taps_back	0
145	1809189224836499572024525	18091892248364995	7	2024-05-25	5	2024	25	exits	0
146	18091892248364995152024525	18091892248364995	15	2024-05-25	5	2024	25	replies	0
147	1809189224836499562024525	18091892248364995	6	2024-05-25	5	2024	25	engagement	5
148	18091892248364995202024525	18091892248364995	20	2024-05-25	5	2024	25	video_views	0
149	18091892248364995102024525	18091892248364995	10	2024-05-25	5	2024	25	impressions	45
150	18091892248364995142024525	18091892248364995	14	2024-05-25	5	2024	25	reach	42
151	18091892248364995162024525	18091892248364995	16	2024-05-25	5	2024	25	saved	0
152	17950801427740207182024525	17950801427740207	18	2024-05-25	5	2024	25	taps_forward	0
153	17950801427740207172024525	17950801427740207	17	2024-05-25	5	2024	25	taps_back	0
154	1795080142774020772024525	17950801427740207	7	2024-05-25	5	2024	25	exits	0
155	17950801427740207152024525	17950801427740207	15	2024-05-25	5	2024	25	replies	0
156	1795080142774020762024525	17950801427740207	6	2024-05-25	5	2024	25	engagement	11
157	17950801427740207202024525	17950801427740207	20	2024-05-25	5	2024	25	video_views	0
158	17950801427740207102024525	17950801427740207	10	2024-05-25	5	2024	25	impressions	74
159	17950801427740207142024525	17950801427740207	14	2024-05-25	5	2024	25	reach	64
160	17950801427740207162024525	17950801427740207	16	2024-05-25	5	2024	25	saved	0
161	18065695549489192182024525	18065695549489192	18	2024-05-25	5	2024	25	taps_forward	0
162	18065695549489192172024525	18065695549489192	17	2024-05-25	5	2024	25	taps_back	0
163	1806569554948919272024525	18065695549489192	7	2024-05-25	5	2024	25	exits	0
164	18065695549489192152024525	18065695549489192	15	2024-05-25	5	2024	25	replies	0
165	1806569554948919262024525	18065695549489192	6	2024-05-25	5	2024	25	engagement	9
166	18065695549489192202024525	18065695549489192	20	2024-05-25	5	2024	25	video_views	0
167	18065695549489192102024525	18065695549489192	10	2024-05-25	5	2024	25	impressions	51
168	18065695549489192142024525	18065695549489192	14	2024-05-25	5	2024	25	reach	48
169	18065695549489192162024525	18065695549489192	16	2024-05-25	5	2024	25	saved	0
170	18249982000212022182024525	18249982000212022	18	2024-05-25	5	2024	25	taps_forward	0
171	18249982000212022172024525	18249982000212022	17	2024-05-25	5	2024	25	taps_back	0
172	1824998200021202272024525	18249982000212022	7	2024-05-25	5	2024	25	exits	0
173	18249982000212022152024525	18249982000212022	15	2024-05-25	5	2024	25	replies	0
174	1824998200021202262024525	18249982000212022	6	2024-05-25	5	2024	25	engagement	6
175	18249982000212022202024525	18249982000212022	20	2024-05-25	5	2024	25	video_views	0
176	18249982000212022102024525	18249982000212022	10	2024-05-25	5	2024	25	impressions	44
177	18249982000212022142024525	18249982000212022	14	2024-05-25	5	2024	25	reach	37
178	18249982000212022162024525	18249982000212022	16	2024-05-25	5	2024	25	saved	0
179	18036597331663791182024525	18036597331663791	18	2024-05-25	5	2024	25	taps_forward	0
180	18036597331663791172024525	18036597331663791	17	2024-05-25	5	2024	25	taps_back	0
181	1803659733166379172024525	18036597331663791	7	2024-05-25	5	2024	25	exits	0
182	18036597331663791152024525	18036597331663791	15	2024-05-25	5	2024	25	replies	0
183	1803659733166379162024525	18036597331663791	6	2024-05-25	5	2024	25	engagement	5
184	18036597331663791202024525	18036597331663791	20	2024-05-25	5	2024	25	video_views	0
185	18036597331663791102024525	18036597331663791	10	2024-05-25	5	2024	25	impressions	51
186	18036597331663791142024525	18036597331663791	14	2024-05-25	5	2024	25	reach	44
187	18036597331663791162024525	18036597331663791	16	2024-05-25	5	2024	25	saved	0
188	17970826016660160182024525	17970826016660160	18	2024-05-25	5	2024	25	taps_forward	0
189	17970826016660160172024525	17970826016660160	17	2024-05-25	5	2024	25	taps_back	0
190	1797082601666016072024525	17970826016660160	7	2024-05-25	5	2024	25	exits	0
191	17970826016660160152024525	17970826016660160	15	2024-05-25	5	2024	25	replies	0
192	1797082601666016062024525	17970826016660160	6	2024-05-25	5	2024	25	engagement	4
