	id_midia	name	period	title	description	id	value	extract_date	period_extraction	year	day	id_tb_midias
7	18012618164496765	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	18012618164496765/insights/reach/lifetime	66.0	2024-05-25	05	2024	25	1801261816449676520240525reachlifetime
8	18012618164496765	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	18012618164496765/insights/saved/lifetime	2.0	2024-05-25	05	2024	25	1801261816449676520240525savedlifetime
0	18020150257990451	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	18020150257990451/insights/taps_forward/lifetime	0.0	2024-05-25	05	2024	25	1802015025799045120240525taps_forwardlifetime
1	18020150257990451	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	18020150257990451/insights/taps_back/lifetime	0.0	2024-05-25	05	2024	25	1802015025799045120240525taps_backlifetime
2	18020150257990451	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	18020150257990451/insights/exits/lifetime	0.0	2024-05-25	05	2024	25	1802015025799045120240525exitslifetime
3	18020150257990451	replies	lifetime	Respostas	Número total de respostas ao story	18020150257990451/insights/replies/lifetime	0.0	2024-05-25	05	2024	25	1802015025799045120240525replieslifetime
4	18020150257990451	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	18020150257990451/insights/engagement/lifetime	6.0	2024-05-25	05	2024	25	1802015025799045120240525engagementlifetime
5	18020150257990451	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	18020150257990451/insights/video_views/lifetime	0.0	2024-05-25	05	2024	25	1802015025799045120240525video_viewslifetime
6	18020150257990451	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	18020150257990451/insights/impressions/lifetime	59.0	2024-05-25	05	2024	25	1802015025799045120240525impressionslifetime
7	18020150257990451	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	18020150257990451/insights/reach/lifetime	50.0	2024-05-25	05	2024	25	1802015025799045120240525reachlifetime
8	18020150257990451	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	18020150257990451/insights/saved/lifetime	1.0	2024-05-25	05	2024	25	1802015025799045120240525savedlifetime
0	18024592819898084	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	18024592819898084/insights/taps_forward/lifetime	0.0	2024-05-25	05	2024	25	1802459281989808420240525taps_forwardlifetime
1	18024592819898084	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	18024592819898084/insights/taps_back/lifetime	0.0	2024-05-25	05	2024	25	1802459281989808420240525taps_backlifetime
2	18024592819898084	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	18024592819898084/insights/exits/lifetime	0.0	2024-05-25	05	2024	25	1802459281989808420240525exitslifetime
3	18024592819898084	replies	lifetime	Respostas	Número total de respostas ao story	18024592819898084/insights/replies/lifetime	0.0	2024-05-25	05	2024	25	1802459281989808420240525replieslifetime
4	18024592819898084	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	18024592819898084/insights/engagement/lifetime	20.0	2024-05-25	05	2024	25	1802459281989808420240525engagementlifetime
5	18024592819898084	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	18024592819898084/insights/video_views/lifetime	0.0	2024-05-25	05	2024	25	1802459281989808420240525video_viewslifetime
6	18024592819898084	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	18024592819898084/insights/impressions/lifetime	97.0	2024-05-25	05	2024	25	1802459281989808420240525impressionslifetime
7	18024592819898084	reach	lifetime	Contas alcançadas	O número de contas únicas que viram este contêiner de carrossel pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações do contêiner de carrossel pelas mesmas contas. Essa métrica é estimada.	18024592819898084/insights/reach/lifetime	80.0	2024-05-25	05	2024	25	1802459281989808420240525reachlifetime
8	18024592819898084	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	18024592819898084/insights/saved/lifetime	2.0	2024-05-25	05	2024	25	1802459281989808420240525savedlifetime
0	17997324461240753	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	17997324461240753/insights/taps_forward/lifetime	0.0	2024-05-25	05	2024	25	1799732446124075320240525taps_forwardlifetime
1	17997324461240753	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	17997324461240753/insights/taps_back/lifetime	0.0	2024-05-25	05	2024	25	1799732446124075320240525taps_backlifetime
2	17997324461240753	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	17997324461240753/insights/exits/lifetime	0.0	2024-05-25	05	2024	25	1799732446124075320240525exitslifetime
3	17997324461240753	replies	lifetime	Respostas	Número total de respostas ao story	17997324461240753/insights/replies/lifetime	0.0	2024-05-25	05	2024	25	1799732446124075320240525replieslifetime
4	17997324461240753	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	17997324461240753/insights/engagement/lifetime	8.0	2024-05-25	05	2024	25	1799732446124075320240525engagementlifetime
5	17997324461240753	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	17997324461240753/insights/video_views/lifetime	0.0	2024-05-25	05	2024	25	1799732446124075320240525video_viewslifetime
6	17997324461240753	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	17997324461240753/insights/impressions/lifetime	84.0	2024-05-25	05	2024	25	1799732446124075320240525impressionslifetime
